CASE;Geschlecht;Alter;Familienstand;Beruflicher Status;Branche;Mitarbeiteranzahl;UN-Zugehoerigkeit;Wochenarbeitszeit;Branche Sonstiges;Autonomie_1;OC_1;Kompetenz_1;Zugehoerigkeit_3;Zugehoerigkeit_4;Autonomie_2;OC_5;Kompetenz_4;Autonomie_3;OC_4;Kompetenz_5;Autonomie_4;Zugehoerigkeit_2;Kompetenz_6;Zugehoerigkeit_6;Autonomie_5;Kompetenz_3;OC_2;Zugehoerigkeit_5;Autonomie_6;Kompetenz_2;Zugehoerigkeit_1;OC_3;PE_UN;PE_Gesamt;PE_UN1;PE_UN2;PE_UN3;PE_UN4;PE_UN5;PE_UN6;PE_UN7;PE_UN8;PE_UN9;MAG;MAG-Haeufigkeit;MAG1;MAG2;MAG3;MAG4;MAG5;MAG6;JR;JR1;JR2;JR3;JR4;JR5;JR6;Mentoring;Mentoring1;Mentoring2;Mentoring3;Mentoring4;Mentoring5;Mentoring6;Laufbahn;Laufbahn1;Laufbahn2;Laufbahn3;Laufbahn4;Laufbahn5;Laufbahn6;
765;1;25;1;3;6;3;1;20;;4;3;3;5;3;3;4;3;3;3;3;3;5;2;1;3;5;2;3;3;4;5;5;1;3;2;1;2;1;1;1;1;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
779;1;25;1;1;21;4;3;32;;4;5;4;5;4;5;4;4;3;5;4;4;4;5;2;4;4;1;4;3;4;5;5;1;7;2;2;2;2;2;1;2;2;1;1;1;5;4;3;5;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
782;1;25;3;1;19;6;6;40;;2;1;2;2;1;1;2;4;2;2;5;1;2;2;1;2;4;2;1;2;4;2;2;1;1;1;1;1;1;1;1;1;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
784;1;26;1;1;5;6;2;39;;2;1;5;3;2;2;1;5;1;1;5;1;2;1;4;4;5;1;3;1;5;4;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
796;1;24;1;1;21;5;5;30;;3;4;4;4;3;4;4;3;1;3;4;4;4;4;2;4;4;3;3;3;3;4;3;1;4;2;1;2;1;2;1;1;2;1;1;2;4;3;4;4;4;4;2;;;;;;;2;;;;;;;1;3;4;4;3;3;2;
798;1;29;1;1;12;6;3;40;;4;4;2;4;3;4;4;3;4;3;3;4;2;2;3;3;3;2;4;3;2;3;4;1;6;2;2;2;2;2;1;1;2;1;1;8;2;3;4;4;3;4;2;;;;;;;2;;;;;;;1;4;4;4;4;4;4;
802;1;29;1;1;21;2;1;45;;2;1;5;2;2;2;1;5;3;1;5;1;3;5;2;3;5;5;2;1;5;3;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
806;1;21;1;1;12;3;1;24;;4;4;3;4;4;5;5;5;4;5;4;3;4;3;4;4;5;1;4;3;4;5;5;1;4;2;1;2;1;1;1;2;2;1;1;1;4;4;4;5;4;5;2;;;;;;;1;3;3;5;4;2;3;2;;;;;;;
807;2;22;1;3;6;6;1;10;;3;2;2;1;3;1;4;3;2;2;4;1;4;1;5;4;3;5;4;2;4;3;2;1;8;2;2;2;2;2;2;2;2;1;1;10;4;4;4;4;4;3;2;;;;;;;1;4;4;4;4;4;4;2;;;;;;;
808;1;22;1;3;10;6;1;24;;4;3;4;2;4;4;4;3;3;4;4;4;4;4;3;4;3;3;4;4;3;4;5;1;8;2;2;2;2;2;2;2;2;1;1;4;5;5;4;5;3;4;1;3;4;3;3;3;4;1;5;4;5;3;4;4;1;3;3;4;4;4;4;
